book,bigram,n
Order of the Phoenix,telephone box,12
Order of the Phoenix,thin air,12
Philosopher's Stone,sorcerer's stone,12
Prisoner of Azkaban,fat lady,12
Prisoner of Azkaban,quidditch cup,12
Chamber of Secrets,entrance hall,11
Chamber of Secrets,gryffindor tower,11
Chamber of Secrets,riddle's diary,11
Deathly Hallows,black eyes,11
Deathly Hallows,entrance hall,11
Deathly Hallows,forbidden forest,11
Goblet of Fire,black dog,11
Goblet of Fire,durmstrang students,11
Goblet of Fire,hogwarts champion,11
Goblet of Fire,lee jordan,11
Half-Blood Prince,dark lord's,11
Half-Blood Prince,katie bell,11
Half-Blood Prince,lavender brown,11
Half-Blood Prince,staff table,11
Order of the Phoenix,bell jar,11
Order of the Phoenix,black door,11
Order of the Phoenix,cho chang,11
Order of the Phoenix,educational decree,11
Order of the Phoenix,international confederation,11
Order of the Phoenix,lee jordan,11
Order of the Phoenix,left hand,11
Prisoner of Azkaban,dean thomas,11
Prisoner of Azkaban,diagon alley,11
Prisoner of Azkaban,marble staircase,11
Prisoner of Azkaban,neville longbottom,11
Chamber of Secrets,finch fletchley,10
Chamber of Secrets,moaning myrtle,10
Chamber of Secrets,muggle borns,10
Chamber of Secrets,polyjuice potion,10
Chamber of Secrets,tom riddle,10
Deathly Hallows,black hair,10
Deathly Hallows,blackthorn wand,10
Deathly Hallows,dance floor,10
Deathly Hallows,dumbledore's army,10
Deathly Hallows,gryffindor's sword,10
Deathly Hallows,hermione's wand,10
Deathly Hallows,house elves,10
Deathly Hallows,killing curse,10
Deathly Hallows,marauder's map,10
Deathly Hallows,shell cottage,10
Goblet of Fire,amos diggory,10
Goblet of Fire,ministry wizards,10
Goblet of Fire,pansy parkinson,10
Goblet of Fire,polyjuice potion,10
Goblet of Fire,riddle house,10
Goblet of Fire,ten feet,10
Goblet of Fire,top table,10
Goblet of Fire,wooden leg,10
Half-Blood Prince,dumbledore's office,10
Half-Blood Prince,marble staircase,10
Half-Blood Prince,pure blood,10
Half-Blood Prince,spiral staircase,10
Half-Blood Prince,wizarding community,10
Order of the Phoenix,bellatrix lestrange,10
Order of the Phoenix,ernie macmillan,10
Order of the Phoenix,female voice,10
Order of the Phoenix,ha ha,10
Order of the Phoenix,katie bell,10
Order of the Phoenix,kingsley shacklebolt,10
Order of the Phoenix,michael corner,10
Order of the Phoenix,twelve grimmauld,10
Philosopher's Stone,house cup,10
Philosopher's Stone,leaky cauldron,10
Prisoner of Azkaban,crystal ball,10
Prisoner of Azkaban,front doors,10
Prisoner of Azkaban,head boy,10
Prisoner of Azkaban,magical creatures,10
Prisoner of Azkaban,quidditch match,10
Chamber of Secrets,colin creevey,9
Chamber of Secrets,muggle born,9
Chamber of Secrets,slytherin team,9
Deathly Hallows,dear boy,9
Deathly Hallows,deep breath,9
Deathly Hallows,monsieur delacour,9
Deathly Hallows,mundungus fletcher,9
Deathly Hallows,pure blood,9
Deathly Hallows,true master,9
Goblet of Fire,bell rang,9
Goblet of Fire,bill charlie,9
Goblet of Fire,blue eyes,9
Goblet of Fire,cedric looked,9
Goblet of Fire,durmstrang ship,9
Goblet of Fire,eyes widening,9
Goblet of Fire,front door,9
Goblet of Fire,front doors,9
Goblet of Fire,half giant,9
Goblet of Fire,hogwarts students,9
Goblet of Fire,magical cooperation,9
Goblet of Fire,scar hurt,9
Goblet of Fire,summoning charm,9
Goblet of Fire,twenty fourth,9
Half-Blood Prince,black eyes,9
Half-Blood Prince,eyes fixed,9
Half-Blood Prince,low voice,9
Half-Blood Prince,marauder's map,9
Half-Blood Prince,moved forward,9
Half-Blood Prince,prime minister's,9
Half-Blood Prince,seventh floor,9
Order of the Phoenix,deep breath,9
Order of the Phoenix,defensive magical,9
Order of the Phoenix,fat lady,9
Order of the Phoenix,front page,9
Order of the Phoenix,grey hair,9
Order of the Phoenix,gryffindor table,9
Order of the Phoenix,half breeds,9
Order of the Phoenix,imperius curse,9
Order of the Phoenix,magical theory,9
Order of the Phoenix,office door,9
Order of the Phoenix,sirius's head,9
Philosopher's Stone,past fluffy,9
Philosopher's Stone,quidditch match,9
Prisoner of Azkaban,cornelius fudge,9
Prisoner of Azkaban,eyed witch,9
Prisoner of Azkaban,goal posts,9
Prisoner of Azkaban,gryffindor team,9
Prisoner of Azkaban,privet drive,9
Prisoner of Azkaban,quidditch field,9
Prisoner of Azkaban,seamus finnigan,9
Chamber of Secrets,floo powder,8
Chamber of Secrets,fred george,8
Chamber of Secrets,gryffindor common,8
Chamber of Secrets,justin finch,8
Chamber of Secrets,miss granger,8
Chamber of Secrets,salazar slytherin,8
Chamber of Secrets,slytherin's heir,8
Chamber of Secrets,whomping willow,8
Deathly Hallows,bellatrix's wand,8
Deathly Hallows,d'you reckon,8
Deathly Hallows,dark magic,8
Deathly Hallows,leaned forward,8
Deathly Hallows,light flew,8
Deathly Hallows,low voice,8
Deathly Hallows,magical maintenance,8
Deathly Hallows,printing press,8
Deathly Hallows,red light,8
Deathly Hallows,shield charm,8
Deathly Hallows,traveling cloak,8
Deathly Hallows,twin cores,8
Goblet of Fire,age line,8
Goblet of Fire,avada kedavra,8
Goblet of Fire,clunk clunk,8
Goblet of Fire,dark wizards,8
Goblet of Fire,green light,8
Goblet of Fire,hip flask,8
Goblet of Fire,international magical,8
Goblet of Fire,master barty,8
Goblet of Fire,miss granger,8
Goblet of Fire,quidditch team,8
Goblet of Fire,school champion,8
Goblet of Fire,thousand galleons,8
Goblet of Fire,voice echoed,8
Goblet of Fire,witch weekly,8
Half-Blood Prince,bellatrix lestrange,8
Half-Blood Prince,blood prince's,8
Half-Blood Prince,cormac mclaggen,8
Half-Blood Prince,dumbledore's body,8
Half-Blood Prince,ernie macmillan,8
Half-Blood Prince,front doors,8
Half-Blood Prince,half moon,8
Half-Blood Prince,house elves,8
Half-Blood Prince,love potion,8
Half-Blood Prince,moaning myrtle,8
Half-Blood Prince,slughorn's party,8
Order of the Phoenix,black dog,8
Order of the Phoenix,chocolate frog,8
Order of the Phoenix,cool female,8
Order of the Phoenix,disciplinary hearing,8
Order of the Phoenix,double doors,8
Order of the Phoenix,dream oracle,8
Order of the Phoenix,drew nearer,8
Order of the Phoenix,escaped death,8
Order of the Phoenix,eyebrows raised,8
Order of the Phoenix,green light,8
Order of the Phoenix,hedwig's cage,8
Order of the Phoenix,knight bus,8
Order of the Phoenix,magnolia crescent,8
Order of the Phoenix,miss edgecombe,8
Order of the Phoenix,plain black,8
Order of the Phoenix,stone floor,8
Order of the Phoenix,sturgis podmore,8
Order of the Phoenix,wizarding community,8
Philosopher's Stone,dark arts,8
Philosopher's Stone,diagon alley,8
Philosopher's Stone,entrance hall,8
Philosopher's Stone,ten minutes,8
Prisoner of Azkaban,dangerous creatures,8
Prisoner of Azkaban,hogwarts express,8
Prisoner of Azkaban,muggle studies,8
Prisoner of Azkaban,peter pettigrew,8
Prisoner of Azkaban,shrieking shack,8
Prisoner of Azkaban,slytherin team,8
Chamber of Secrets,bell rang,7
Chamber of Secrets,dean thomas,7
Chamber of Secrets,front door,7
Chamber of Secrets,gryffindor team,7
Chamber of Secrets,hogwarts express,7
Chamber of Secrets,invisibility cloak,7
Chamber of Secrets,knockturn alley,7
Chamber of Secrets,marble staircase,7
Chamber of Secrets,portrait hole,7
Chamber of Secrets,privet drive,7
Chamber of Secrets,pure blood,7
Chamber of Secrets,seamus finnigan,7
Chamber of Secrets,slytherin common,7
Deathly Hallows,avada kedavra,7
Deathly Hallows,bright blue,7
Deathly Hallows,cold voice,7
Deathly Hallows,diagon alley,7
Deathly Hallows,fell silent,7
Deathly Hallows,gellert grindelwald,7
Deathly Hallows,godric gryffindor,7
Deathly Hallows,hedwig's cage,7
Deathly Hallows,lestranges vault,7
Deathly Hallows,lost diadem,7
Deathly Hallows,privet drive,7
Deathly Hallows,protective enchantments,7
Deathly Hallows,silence fell,7
Deathly Hallows,ted tonks,7
Deathly Hallows,thin air,7
Deathly Hallows,tom riddle,7
Deathly Hallows,voldemort's mind,7
Deathly Hallows,wand held,7
Deathly Hallows,xenophilius lovegood,7
Goblet of Fire,bagman looked,7
Goblet of Fire,barn owl,7
Goblet of Fire,bedside table,7
Goblet of Fire,cedric's body,7
Goblet of Fire,dance floor,7
Goblet of Fire,dennis creevey,7
Goblet of Fire,empty chair,7
Goblet of Fire,eyes twinkling,7
Goblet of Fire,forbidden forest,7
Goblet of Fire,gray hair,7
Goblet of Fire,gryffindor common,7
Goblet of Fire,half past,7
Goblet of Fire,judges table,7
Goblet of Fire,lavender brown,7
Goblet of Fire,lord voldemort's,7
Goblet of Fire,low voice,7
Goblet of Fire,magical games,7
Goblet of Fire,moaning myrtle,7
Goblet of Fire,moved forward,7
Goblet of Fire,normal eye,7
Goblet of Fire,pumpkin juice,7
Goblet of Fire,quidditch match,7
Goblet of Fire,scar hurting,7
Goblet of Fire,skeeter woman,7
Goblet of Fire,slytherin table,7
Goblet of Fire,sorting hat,7
Goblet of Fire,spiral staircase,7
Goblet of Fire,teachers table,7
Goblet of Fire,walked past,7
Goblet of Fire,walking stick,7
Goblet of Fire,wand tip,7
Goblet of Fire,weird sisters,7
Goblet of Fire,wizarding world,7
Goblet of Fire,yule ball,7
Half-Blood Prince,fell silent,7
Half-Blood Prince,gryffindor table,7
Half-Blood Prince,hogwarts express,7
Half-Blood Prince,magical creatures,7
Half-Blood Prince,miss granger,7
Half-Blood Prince,moon spectacles,7
Half-Blood Prince,muggle born,7
Half-Blood Prince,privet drive,7
Half-Blood Prince,quidditch team,7
Half-Blood Prince,slughorn's office,7
Half-Blood Prince,st mungo's,7
Half-Blood Prince,stone basin,7
Half-Blood Prince,ten minutes,7
Half-Blood Prince,wizard wheezes,7
Half-Blood Prince,zacharias smith,7
Order of the Phoenix,bedside table,7
Order of the Phoenix,blue eyes,7
Order of the Phoenix,bowler hat,7
Order of the Phoenix,caught sight,7
Order of the Phoenix,cedric diggory,7
Order of the Phoenix,cold voice,7
Order of the Phoenix,crumple horned,7
Order of the Phoenix,da meetings,7
Order of the Phoenix,dark hair,7
Order of the Phoenix,dean thomas,7
Order of the Phoenix,defensive spells,7
Order of the Phoenix,diagon alley,7
Order of the Phoenix,door swung,7
Order of the Phoenix,dream diary,7
Order of the Phoenix,dressing gown,7
Order of the Phoenix,dumbledore's office,7
Order of the Phoenix,eye moody,7
Order of the Phoenix,eyes narrowed,7
Order of the Phoenix,fell asleep,7
Order of the Phoenix,free hand,7
Order of the Phoenix,fresh air,7
Order of the Phoenix,glass spheres,7
Order of the Phoenix,grey centaur,7
Order of the Phoenix,gryffindor quidditch,7
