book,index,negative,positive,sentiment
Goblet of Fire,145,74,26,-0.48
Goblet of Fire,146,61,39,-0.22
Goblet of Fire,147,57,43,-0.14
Goblet of Fire,148,67,33,-0.34
Goblet of Fire,149,52,48,-0.04
Goblet of Fire,150,66,34,-0.32
Goblet of Fire,151,85,15,-0.7
Goblet of Fire,152,70,30,-0.4
Goblet of Fire,153,78,22,-0.56
Goblet of Fire,154,78,22,-0.56
Goblet of Fire,155,71,29,-0.42
Goblet of Fire,156,65,35,-0.3
Goblet of Fire,157,48,52,0.04
Goblet of Fire,158,46,54,0.08
Goblet of Fire,159,54,46,-0.08
Goblet of Fire,160,63,37,-0.26
Goblet of Fire,161,73,27,-0.46
Goblet of Fire,162,63,37,-0.26
Goblet of Fire,163,68,32,-0.36
Goblet of Fire,164,53,47,-0.06
Goblet of Fire,165,63,37,-0.26
Goblet of Fire,166,61,39,-0.22
Goblet of Fire,167,59,41,-0.18
Goblet of Fire,168,74,26,-0.48
Goblet of Fire,169,75,25,-0.5
Goblet of Fire,170,58,42,-0.16
Goblet of Fire,171,55,45,-0.1
Goblet of Fire,172,63,37,-0.26
Goblet of Fire,173,63,37,-0.26
Goblet of Fire,174,61,39,-0.22
Goblet of Fire,175,53,47,-0.06
Goblet of Fire,176,65,35,-0.3
Goblet of Fire,177,50,50,0
Goblet of Fire,178,56,44,-0.12
Goblet of Fire,179,65,35,-0.3
Goblet of Fire,180,65,35,-0.3
Goblet of Fire,181,59,41,-0.18
Goblet of Fire,182,73,27,-0.46
Goblet of Fire,183,60,40,-0.2
Goblet of Fire,184,81,19,-0.62
Goblet of Fire,185,82,18,-0.64
Goblet of Fire,186,67,33,-0.34
Goblet of Fire,187,59,41,-0.18
Goblet of Fire,188,80,20,-0.6
Goblet of Fire,189,65,35,-0.3
Goblet of Fire,190,66,34,-0.32
Goblet of Fire,191,80,20,-0.6
Goblet of Fire,192,73,27,-0.46
Goblet of Fire,193,70,30,-0.4
Goblet of Fire,194,64,36,-0.28
Goblet of Fire,195,66,34,-0.32
Goblet of Fire,196,72,28,-0.44
Goblet of Fire,197,74,26,-0.48
Goblet of Fire,198,67,33,-0.34
Goblet of Fire,199,70,30,-0.4
Goblet of Fire,200,82,18,-0.64
Goblet of Fire,201,62,38,-0.24
Goblet of Fire,202,81,19,-0.62
Goblet of Fire,203,71,29,-0.42
Goblet of Fire,204,68,32,-0.36
Goblet of Fire,205,78,22,-0.56
Goblet of Fire,206,75,25,-0.5
Goblet of Fire,207,74,26,-0.48
Goblet of Fire,208,58,42,-0.16
Goblet of Fire,209,66,34,-0.32
Goblet of Fire,210,70,30,-0.4
Goblet of Fire,211,78,22,-0.56
Goblet of Fire,212,73,27,-0.46
Goblet of Fire,213,78,22,-0.56
Goblet of Fire,214,61,39,-0.22
Goblet of Fire,215,50,50,0
Goblet of Fire,216,62,38,-0.24
Goblet of Fire,217,76,24,-0.52
Goblet of Fire,218,74,26,-0.48
Goblet of Fire,219,59,41,-0.18
Order of the Phoenix,220,1,1,0
Goblet of Fire,220,67,31,-0.36
Order of the Phoenix,221,71,29,-0.42
Order of the Phoenix,222,72,28,-0.44
Order of the Phoenix,223,79,21,-0.58
Order of the Phoenix,224,79,21,-0.58
Order of the Phoenix,225,68,32,-0.36
Order of the Phoenix,226,74,26,-0.48
Order of the Phoenix,227,79,21,-0.58
Order of the Phoenix,228,77,23,-0.54
Order of the Phoenix,229,65,35,-0.3
Order of the Phoenix,230,81,19,-0.62
Order of the Phoenix,231,71,29,-0.42
Order of the Phoenix,232,65,35,-0.3
Order of the Phoenix,233,82,18,-0.64
Order of the Phoenix,234,74,26,-0.48
Order of the Phoenix,235,67,33,-0.34
